"id","country_id","name","abbreviation","ibge_code"
"1","45","Acre","AC","12"
"2","45","Alagoas","AL","27"
"3","45","Amazonas","AM","13"
"4","45","Amapá","AP","16"
"5","45","Bahia","BA","29"
"6","45","Ceará","CE","23"
"7","45","Distrito Federal","DF","53"
"8","45","Espírito Santo","ES","32"
"9","45","Goiás","GO","52"
"10","45","Maranhão","MA","21"
"11","45","Minas Gerais","MG","31"
"12","45","Mato Grosso do Sul","MS","50"
"13","45","Mato Grosso","MT","51"
"14","45","Pará","PA","15"
"15","45","Paraíba","PB","25"
"16","45","Pernambuco","PE","26"
"17","45","Piauí","PI","22"
"18","45","Paraná","PR","41"
"19","45","Rio de Janeiro","RJ","33"
"20","45","Rio Grande do Norte","RN","24"
"21","45","Rondônia","RO","11"
"22","45","Roraima","RR","14"
"23","45","Rio Grande do Sul","RS","43"
"24","45","Santa Catarina","SC","42"
"25","45","Sergipe","SE","28"
"26","45","São Paulo","SP","35"
"27","45","Tocantins","TO","17"
